#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 02 13 40 999 99.0 99.0  2.11 11.11  8.57   3 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 14 10 999 99.0 99.0  1.87 14.29  8.58 351 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 14 40 999 99.0 99.0  1.90 11.76  8.35 359 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 15 40 999 99.0 99.0  1.98 10.53  8.55  15 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 16 10 999 99.0 99.0  1.82 14.29  8.69 352 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 16 40 999 99.0 99.0  1.84 13.33  8.29 354 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 17 10 999 99.0 99.0  1.66 14.29  8.33 359 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 17 40 999 99.0 99.0  1.78 11.76  8.52 356 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 18 10 999 99.0 99.0  1.74 15.38  8.52   8 9999.0 999.0  23.7 999.0 99.0 99.00
2012 01 02 18 40 999 99.0 99.0  1.66 13.33  8.23   1 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 19 10 999 99.0 99.0  1.85 12.50  9.05   3 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 19 40 999 99.0 99.0  1.73 11.11  8.44   8 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 20 10 999 99.0 99.0  1.79 14.29  8.69 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 20 40 999 99.0 99.0  1.71 15.38  8.81 358 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 02 21 10 999 99.0 99.0  1.69 14.29  8.83   1 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 02 21 40 999 99.0 99.0  1.72 14.29  8.98   6 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 02 22 10 999 99.0 99.0  1.81 14.29  9.14 358 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 02 22 40 999 99.0 99.0  1.77 14.29  9.20   1 9999.0 999.0  24.4 999.0 99.0 99.00
2012 01 02 23 10 999 99.0 99.0  1.65 13.33  8.64 356 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 02 23 40 999 99.0 99.0  1.64 14.29  8.76 356 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 00 10 999 99.0 99.0  1.62 13.33  8.78 347 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 03 00 40 999 99.0 99.0  1.62 13.33  8.64 347 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 03 01 10 999 99.0 99.0  1.67 14.29  8.90 358 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 03 01 40 999 99.0 99.0  1.77 14.29  9.18 356 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 03 02 10 999 99.0 99.0  1.65 11.76  8.98 358 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 02 40 999 99.0 99.0  1.60 13.33  9.04 351 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 03 03 10 999 99.0 99.0  1.60 12.50  9.04 358 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 03 40 999 99.0 99.0  1.66 14.29  9.50 355 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 03 04 10 999 99.0 99.0  1.72 13.33  9.55 354 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 03 04 40 999 99.0 99.0  1.66 16.67 10.00  16 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 05 10 999 99.0 99.0  1.56 11.11  9.32   2 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 03 05 40 999 99.0 99.0  1.74 16.67 10.21  17 9999.0 999.0  23.7 999.0 99.0 99.00
2012 01 03 06 10 999 99.0 99.0  1.79 16.67 10.51  17 9999.0 999.0  23.7 999.0 99.0 99.00
2012 01 03 06 40 999 99.0 99.0  1.74 15.38 10.56  15 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 03 07 10 999 99.0 99.0  1.88 15.38 10.87   8 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 07 40 999 99.0 99.0  1.67 15.38 10.07   8 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 08 10 999 99.0 99.0  1.82 15.38 10.75  13 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 08 40 999 99.0 99.0  1.71 15.38 10.47  20 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 09 10 999 99.0 99.0  1.88 15.38 10.72  12 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 09 40 999 99.0 99.0  1.87 15.38 11.12  20 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 10 10 999 99.0 99.0  1.86 15.38 10.91  24 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 10 40 999 99.0 99.0  1.67 15.38 10.48  16 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 11 10 999 99.0 99.0  1.75 14.29 10.36  15 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 11 40 999 99.0 99.0  1.56 14.29 10.00  17 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 12 10 999 99.0 99.0  1.87 14.29 10.63   8 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 12 40 999 99.0 99.0  1.64 14.29  9.89  12 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 13 10 999 99.0 99.0  1.65 15.38 10.24  20 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 13 40 999 99.0 99.0  1.53 15.38 10.13  24 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 14 10 999 99.0 99.0  1.46 15.38 10.21  22 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 14 40 999 99.0 99.0  1.58 14.29 10.72  17 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 03 15 10 999 99.0 99.0  1.47 15.38 10.12  23 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 15 40 999 99.0 99.0  1.25 15.38  9.76  10 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 16 10 999 99.0 99.0  1.27 15.38 10.02  10 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 16 40 999 99.0 99.0  1.27 15.38  9.67  24 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 03 17 10 999 99.0 99.0  1.33 15.38  9.66  16 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 03 17 40 999 99.0 99.0  1.32 15.38 10.20  16 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 18 10 999 99.0 99.0  1.27 15.38  9.45  19 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 18 40 999 99.0 99.0  1.18 14.29  9.74   6 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 03 19 10 999 99.0 99.0  1.09 14.29  8.85  13 9999.0 999.0  23.9 999.0 99.0 99.00
