#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 07 02 41 999 99.0 99.0  1.42 13.33  7.88 350 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 03 11 999 99.0 99.0  1.39 11.11  7.78 359 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 03 41 999 99.0 99.0  1.46 15.38  8.22 356 9999.0 999.0  24.3 999.0 99.0 99.00
2010 02 07 04 11 999 99.0 99.0  1.45 15.38  8.13 355 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 07 04 41 999 99.0 99.0  1.36 15.38  8.04 357 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 07 05 11 999 99.0 99.0  1.37 15.38  7.78 356 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 05 41 999 99.0 99.0  1.39 14.29  8.12 352 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 06 11 999 99.0 99.0  1.42 10.53  7.99  13 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 06 41 999 99.0 99.0  1.37 11.11  7.57   9 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 07 11 999 99.0 99.0  1.30 15.38  7.62 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 07 41 999 99.0 99.0  1.42 13.33  7.91 348 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 08 11 999 99.0 99.0  1.36 14.29  8.11 350 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 08 41 999 99.0 99.0  1.38 11.11  7.96 352 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 09 11 999 99.0 99.0  1.43  9.88  8.09   2 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 09 41 999 99.0 99.0  1.33 11.76  7.61 356 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 10 11 999 99.0 99.0  1.31 14.29  7.34 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 10 41 999 99.0 99.0  1.39 11.76  7.26 353 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 11 11 999 99.0 99.0  1.43 11.11  7.40 357 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 11 41 999 99.0 99.0  1.33 15.38  7.39 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 12 11 999 99.0 99.0  1.38 14.29  7.22 348 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 12 41 999 99.0 99.0  1.27 15.38  7.20 350 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 13 11 999 99.0 99.0  1.42 14.29  7.67 350 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 13 41 999 99.0 99.0  1.36 14.29  7.74 355 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 14 11 999 99.0 99.0  1.30 14.29  7.83 349 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 07 14 41 999 99.0 99.0  1.21 14.29  7.34 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 15 11 999 99.0 99.0  1.18 15.38  7.27 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 15 41 999 99.0 99.0  1.29 14.29  7.62 349 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 07 16 11 999 99.0 99.0  1.19 14.29  7.29 349 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 16 41 999 99.0 99.0  1.19 14.29  6.97 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 17 11 999 99.0 99.0  1.07 14.29  6.47 350 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 17 41 999 99.0 99.0  1.17 14.29  6.98 356 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 18 11 999 99.0 99.0  1.08 13.33  6.99 349 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 18 41 999 99.0 99.0  1.06 13.33  6.79 353 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 19 11 999 99.0 99.0  1.09 14.29  7.05 353 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 07 19 41 999 99.0 99.0  1.06 14.29  6.62 356 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 20 11 999 99.0 99.0  1.03 12.50  6.32 357 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 20 41 999 99.0 99.0  1.01 13.33  6.39 357 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 07 21 11 999 99.0 99.0  1.04 14.29  6.59 353 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 21 41 999 99.0 99.0  1.00 13.33  6.58 353 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 07 22 11 999 99.0 99.0  0.91 12.50  6.55 350 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 07 22 41 999 99.0 99.0  0.92 12.50  6.99 353 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 07 23 11 999 99.0 99.0  0.82 11.76  6.55 352 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 07 23 41 999 99.0 99.0  0.87 13.33  6.79 352 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 08 00 11 999 99.0 99.0  0.90 11.11  6.56   2 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 08 00 41 999 99.0 99.0  0.91 12.50  6.46 348 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 08 01 11 999 99.0 99.0  1.00 12.50  6.67 348 9999.0 999.0  24.3 999.0 99.0 99.00
2010 02 08 01 41 999 99.0 99.0  0.95 13.33  6.56 348 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 08 02 11 999 99.0 99.0  0.94 11.76  6.50 342 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 08 02 41 999 99.0 99.0  1.00 11.11  6.44 345 9999.0 999.0  24.1 999.0 99.0 99.00
2010 02 08 03 11 999 99.0 99.0  1.10 11.76  6.96 342 9999.0 999.0  24.2 999.0 99.0 99.00
2010 02 08 03 41 999 99.0 99.0  1.09 11.76  6.57 348 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 08 04 11 999 99.0 99.0  1.13 11.76  6.77 340 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 08 04 41 999 99.0 99.0  1.01 10.53  6.04 350 9999.0 999.0  24.0 999.0 99.0 99.00
2010 02 08 05 11 999 99.0 99.0  1.00 11.11  5.76 349 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 05 41 999 99.0 99.0  1.09 11.11  5.79 352 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 06 11 999 99.0 99.0  1.07 12.50  5.63 346 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 08 06 41 999 99.0 99.0  1.07 10.53  5.56 355 9999.0 999.0  23.9 999.0 99.0 99.00
